subject,body,label
"Solicitação de suporte técnico","Olá, meu sistema está apresentando erro ao tentar gerar relatórios. Poderiam verificar, por favor?","produtivo"
"Atualização sobre caso aberto","O chamado #12345 foi atualizado. Precisamos da sua confirmação para prosseguir.","produtivo"
"Dúvida sobre sistema","Não consigo acessar a função de exportação de dados. Poderia me orientar?","produtivo"
"Confirmação de reunião","Podemos agendar a reunião de alinhamento para amanhã às 14h?","produtivo"
"Erro na plataforma","Recebi uma mensagem de erro ao tentar salvar um formulário. Agradeço a ajuda.","produtivo"
"Pedido de documentação","Solicito o envio do manual atualizado do sistema ERP.","produtivo"
"Aprovação de orçamento","O orçamento enviado precisa da sua aprovação até sexta-feira.","produtivo"
"Relatório financeiro","Favor revisar o relatório financeiro antes da reunião de diretoria.","produtivo"
"Alteração de senha","Preciso redefinir minha senha, pois não consigo acessar minha conta.","produtivo"
"Atualização de cadastro","Por favor, atualize meus dados cadastrais no sistema.","produtivo"
"Parabéns pelo projeto","Parabéns a todos pelo excelente trabalho no projeto X!","improdutivo"
"Feliz aniversário","Desejamos um feliz aniversário e muito sucesso!","improdutivo"
"Agradecimento","Muito obrigado pelo suporte durante a última semana.","improdutivo"
"Boas festas","Desejamos boas festas a toda equipe!","improdutivo"
"Mensagem de boas-vindas","Seja bem-vindo ao time! Esperamos que tenha uma ótima experiência.","improdutivo"
"Reconhecimento","Queremos reconhecer o esforço e dedicação da equipe neste trimestre.","improdutivo"
"Motivacional","Continue assim! Seu trabalho tem feito diferença para todos.","improdutivo"
"Newsletter interna","Segue a newsletter com as novidades da empresa.","improdutivo"
"Convite para evento social","Convidamos todos para o happy hour na sexta-feira.","improdutivo"
"Agradecimento pelo feedback","Agradecemos seu retorno sobre a pesquisa de clima.","improdutivo"

